Run Number,Problem Rate,Replan,Runtime (s),Had Failure,Successful Termination
211,75,False,2.47,True,False
212,75,False,2.47,True,False
213,75,False,2.42,True,False
214,75,False,2.47,False,True
215,75,False,2.47,True,False
216,75,False,2.47,True,False
217,75,False,4.37,False,True
218,75,False,2.47,False,True
219,75,False,2.42,True,False
220,75,False,2.42,True,False
221,75,False,2.42,True,False
222,75,False,2.42,True,False
223,75,False,2.47,True,False
224,75,False,2.47,True,False
225,75,False,2.47,True,False
226,75,False,2.47,True,False
227,75,False,2.42,False,True
228,75,False,2.42,False,True
229,75,False,2.47,True,False
230,75,False,2.47,False,True
231,75,False,2.42,True,False
232,75,False,2.47,True,False
233,75,False,2.47,True,False
234,75,False,2.47,True,False
235,75,False,2.47,True,False
236,75,False,2.42,True,False
237,75,False,2.42,True,False
238,75,False,2.42,True,False
239,75,False,4.36,True,False
240,75,False,2.47,True,False
